Order Number,Sales Date,Sales Channel,Currency,Salesteamindex,Storeindex,Productindex,Order qty,unit price,unit cost,Revenue,Profit,Month Number,Month name
SO1,2022-05-24,Online,USD,19,362,9,8,504.2529661,360.1806901,4034.023729,1152.578208,5,May
SO2,2022-02-16,Wholesale,USD,20,334,26,5,551.5496897,393.964064,2757.748448,787.9281281,2,Feb
SO3,2022-05-30,In-Store,USD,12,21,22,4,253.8003271,181.2859479,1015.201308,290.0575167,5,May
SO4,2022-01-22,Wholesale,USD,9,112,8,9,330.8134904,236.2953503,2977.321414,850.663261,1,Jan
SO5,2022-04-24,Wholesale,USD,15,64,23,4,387.9162735,277.0830525,1551.665094,443.332884,4,Apr
SO6,2022-04-09,Distributor,USD,6,243,14,4,322.8686053,230.6204323,1291.474421,368.9926917,4,Apr
SO7,2022-05-21,In-Store,USD,7,38,33,2,293.1670666,209.4050476,586.3341333,167.5240381,5,May
SO8,2022-03-30,Online,USD,21,188,15,8,273.9928129,195.7091521,2191.942503,626.2692866,3,Mar
SO9,2022-05-05,Wholesale,USD,26,288,28,9,499.789683,356.9926307,4498.107147,1285.173471,5,May
SO10,2022-03-09,Wholesale,USD,19,148,13,1,288.2642459,205.9030328,288.2642459,82.36121311,3,Mar
SO11,2022-04-26,Online,USD,15,154,47,10,621.1825374,443.7018124,6211.825374,1774.80725,4,Apr
SO12,2022-04-07,Wholesale,USD,10,67,5,2,245.5892229,175.4208735,491.1784458,140.3366988,4,Apr
SO13,2022-02-03,Wholesale,USD,18,51,25,8,348.3219861,248.8014187,2786.575889,796.1645397,2,Feb
SO14,2022-05-06,In-Store,USD,15,174,43,1,575.952737,411.3948121,575.952737,164.5579248,5,May
SO15,2022-01-23,Wholesale,USD,21,18,4,1,383.5108629,273.9363306,383.5108629,109.5745323,1,Jan
SO16,2022-01-27,Online,USD,24,9,6,8,209.6728499,149.7663214,1677.382799,479.2522283,1,Jan
SO17,2022-05-14,Distributor,USD,21,256,46,1,323.1152946,230.796639,323.1152946,92.31865561,5,May
SO18,2022-02-14,Wholesale,USD,10,300,18,9,173.6902431,124.0644594,1563.212188,446.6320537,2,Feb
SO19,2022-04-10,In-Store,USD,22,83,24,3,644.1960495,460.1400354,1932.588149,552.1680424,4,Apr
SO20,2022-01-31,Distributor,USD,10,45,24,6,387.1741748,276.552982,2323.045049,663.7271568,1,Jan
SO21,2022-02-22,Online,USD,21,276,5,8,544.1906657,388.7076183,4353.525325,1243.864379,2,Feb
SO22,2022-03-25,Online,USD,9,316,23,5,380.9760929,272.1257807,1904.880465,544.2515613,3,Mar
SO23,2022-01-31,Distributor,USD,14,268,47,5,542.0526114,387.1804367,2710.263057,774.3608734,1,Jan
SO24,2022-05-14,Distributor,USD,4,356,42,5,261.7121551,186.9372536,1308.560776,373.8745073,5,May
SO25,2022-04-12,Online,USD,7,142,24,1,337.5037267,241.0740905,337.5037267,96.42963619,4,Apr
SO26,2022-04-19,Online,USD,24,243,34,9,370.5059041,264.6470743,3334.553137,952.7294676,4,Apr
SO27,2022-03-17,Wholesale,USD,4,162,1,6,586.3061956,418.7901397,3517.837173,1005.096335,3,Mar
SO28,2022-05-01,Wholesale,USD,3,268,35,2,215.6723499,154.0516785,431.3446999,123.2413428,5,May
SO29,2022-04-12,Distributor,USD,2,250,20,2,340.7103004,243.3645003,681.4206008,194.6916002,4,Apr
SO30,2022-04-12,Wholesale,USD,18,112,38,5,389.8747083,278.4819345,1949.373541,556.963869,4,Apr
SO31,2022-01-01,Wholesale,USD,10,66,28,8,566.4842067,404.6315762,4531.873654,1294.821044,1,Jan
SO32,2022-03-13,In-Store,USD,4,275,39,10,285.5350449,203.9536035,2855.350449,815.814414,3,Mar
SO33,2022-02-25,Distributor,USD,2,58,5,3,225.1820299,160.8443071,675.5460897,193.0131685,2,Feb
SO34,2022-04-16,Wholesale,USD,17,195,10,5,579.5300764,413.9500546,2897.650382,827.9001091,4,Apr
SO35,2022-05-16,In-Store,USD,6,290,16,6,593.5564325,423.9688804,3561.338595,1017.525313,5,May
SO36,2022-01-20,Distributor,USD,2,118,46,1,545.4533772,389.6095552,545.4533772,155.8438221,1,Jan
SO37,2022-04-08,In-Store,USD,13,180,29,8,551.2720036,393.7657169,4410.176029,1260.050294,4,Apr
SO38,2022-02-28,Wholesale,USD,5,231,3,7,416.9752432,297.8394594,2918.826702,833.9504864,2,Feb
SO39,2022-03-13,Distributor,USD,10,165,44,10,262.3256684,187.3754774,2623.256684,749.5019097,3,Mar
SO40,2022-04-15,In-Store,USD,11,261,6,2,614.0814607,438.6296148,1228.162921,350.9036918,4,Apr
SO41,2022-02-12,Distributor,USD,3,167,35,4,239.8303801,171.3074144,959.3215206,274.091863,2,Feb
SO42,2022-04-27,In-Store,USD,9,216,14,3,290.2222327,207.3015948,870.6666981,248.7619137,4,Apr
